,integrity_risk_score,over_rate,retire_rate,mrv_quality,additionality_score,permanence_risk,over_total,issued_total,retired_total
integrity_risk_score,1.0,0.8600199488419469,0.0393057122747542,-0.8231132824722058,-0.5948570149204871,0.2871559065843275,0.33898646532844073,0.1074687519975611,0.10147360688212843
over_rate,0.8600199488419469,1.0,0.03761853741031686,-0.8355875472867571,-0.5468172873533227,-0.08985592891003905,0.36388553806350077,0.11386792374647788,0.1083897560756472
retire_rate,0.0393057122747542,0.03761853741031686,1.0,-0.043195858193022935,-0.026002324600223475,-0.020435709245339877,-0.0874091868119625,-0.06347576779122832,-0.01716541187828623
mrv_quality,-0.8231132824722058,-0.8355875472867571,-0.043195858193022935,1.0,0.17202041141461924,0.10238794940723177,-0.3638138363480605,-0.15509064270453002,-0.14671132418289878
additionality_score,-0.5948570149204871,-0.5468172873533227,-0.026002324600223475,0.17202041141461924,1.0,-0.08393536525252568,-0.08661717316221336,0.07451173714245969,0.07382183271131171
permanence_risk,0.2871559065843275,-0.08985592891003905,-0.020435709245339877,0.10238794940723177,-0.08393536525252568,1.0,0.052345240939162326,0.06570350578913967,0.06556943755288475
over_total,0.33898646532844073,0.36388553806350077,-0.0874091868119625,-0.3638138363480605,-0.08661717316221336,0.052345240939162326,1.0,0.9211305426771499,0.9111072931518918
issued_total,0.1074687519975611,0.11386792374647788,-0.06347576779122832,-0.15509064270453002,0.07451173714245969,0.06570350578913967,0.9211305426771499,1.0,0.9978104667362386
retired_total,0.10147360688212843,0.1083897560756472,-0.01716541187828623,-0.14671132418289878,0.07382183271131171,0.06556943755288475,0.9111072931518918,0.9978104667362386,1.0
